stage,key,name,namespace,text,confidence
lobby,CF5009,,654515,Skill needed: CQC+\nPress the △ button to inject \nScanning Plug S into a captured \nenemy and display link info.\nCan share data through SOP.\n- Item needed: Scanning Plug S\n- Scanning time ★☆☆,verified
lobby,CF500A,,654515,Skill needed: CQC+  \nPress the △ button to inject \nScanning Plug S into a captured \nenemy and display link info.\nCan share data through SOP.\n- Item needed: Scanning Plug S\n- Scanning time ★★☆,verified
lobby,CF500B,,654515,Skill needed: CQC+\nPress the △ button to inject \nScanning Plug S into a captured \nenemy and display link info.\nCan share data through SOP.\n- Item needed: Scanning Plug S\n- Scanning time ★★★,verified
lobby,7708A2,,654515,"Changes salute pose and preset\nCodec messages. In addition, position\nand Codec messages are broadcast\nto all characters.\n- Intimidation ★★★\n- Attitude ★★★",verified
lobby,7708A3,,654515,"Changes salute pose and preset\nCodec messages. In addition, position\nand Codec messages are broadcast\nto all characters.\n- Intimidation ★★★\n- Attitude ★★★",verified
lobby,7708A4,,654515,"Changes salute pose and preset\nCodec messages. In addition, position\nand Codec messages are broadcast\nto all characters.\n- Intimidation ★★★\n- Attitude ★★★",verified
lobby,4E1E4A,Title_Doc_F.H,654515,A living legend,verified
lobby,4E227A,Title_Doc_FOX,654515,The best of the best,verified
lobby,4E1A64,Title_Doc_DOB,654515,A top-class soldier,verified
lobby,4E2A77,Title_Doc_HOU,654515,A superior soldier,verified
lobby,4E16D1,Title_Doc_CRO,654515,High kill count,verified
lobby,4E1CA9,Title_Doc_EAG,654515,Headshot master,verified
lobby,4E5583,Title_Doc_SHA,654515,Knife master,verified
lobby,4E6244,Title_Doc_W.B,654515,High survival rate,verified
lobby,4E5611,Title_Doc_SLO,654515,Highly susceptible to headshots,verified
lobby,4E1E55,Title_Doc_F.S,654515,High number of rolls,verified
lobby,4E4967,Title_Doc_PGE,654515,Prefers not to kill,verified
lobby,4E3E51,Title_Doc_N.O,654515,Often wears ENVG,verified
lobby,4E5AF7,Title_Doc_TSU,654515,Rarely plays,verified
lobby,4E5247,Title_Doc_S.E,654515,Prefers Sneaking rules,verified
lobby,4E3534,Title_Doc_KER,654515,Prefers Capture rules,verified
lobby,4E24B4,Title_Doc_GAR,654515,Prefers Rescue rules,verified
lobby,4E1583,Title_Doc_CHA,654515,Prefers Team Sneaking rules,verified
lobby,4E158B,Title_Doc_CHI,654515,Rarely participates in battle,verified
lobby,4E1134,Title_Doc_BER,654515,Bare hand/CQC master,verified
lobby,4E5A74,Title_Doc_TOR,654515,Often uses cardboard box,verified
lobby,4E3CB0,Title_Doc_MAN,654515,Scanning master,verified
lobby,4E50B6,Title_Doc_RAT,654515,Often gets stuck in traps,verified
lobby,1F6B14,Medal_Kill,654515,%d consecutive kills,verified
lobby,4A0761,Medal_HS,654515,%d consecutive headshots,verified
lobby,7B37EB,Medal_Death,654515,%d consecutive deaths,verified
lobby,183513,,654515,%d total kills,verified
lobby,9477CA,,654515,%d total deaths,verified
lobby,411A96,,654515,%d consecutive survivals in TDM,verified
lobby,4117CE,,654515,%d consecutive times spotted in SNE,verified
lobby,B95B18,,654515,%d consecutive missions completed,verified
lobby,1ACBED,,654515,%d bases destroyed,verified
lobby,C4A892,,654515,%d SOP destabilizer uses,verified
lobby,2F49A3,,654515,%d targets captured,verified
lobby,E66E71,,654515,%d matches without a scratch,verified
lobby,6DEE6C,,654515,%d people finished training,verified
lobby,1ADC09,,654515,Beta test participant,verified
lobby,E8A2BC,,654515,%d times spotted Snake first,verified
lobby,E8A2BD,,654515,%d Mk.II destructions,verified
lobby,E8A2BE,,654515,%d hold ups performed as Snake,verified
lobby,C456BF,,preset_radio,Capture Mission,verified
lobby,892119,,preset_radio,ASSAULT RIFLE+,verified
lobby,65A4E9,,preset_radio,CQC+,verified
lobby,2AC66D,,preset_radio,BLADES+,verified
lobby,2AC670,,preset_radio,MONOMANIA,verified
lobby,2AC675,,preset_radio,INSTRUCTOR,verified
lobby,31C386,,preset_radio,Serious,verified
lobby,1244C7,,preset_radio,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,F44F05,,preset_radio,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,69A02D,,preset_radio,Increases the zoom rate when aiming\nweapons in First Person View.\n(Does not affect zoom rate when using\na scope)\n- Zoom rate ★☆☆,verified
lobby,61D865,,preset_radio,Extends the maximum lock-on distance.\n- Lock on distance ★★☆,verified
lobby,35E1BF,,preset_radio,Skill wielding traps.\nEnables you to set up traps more quickly.\n- Set up speed ★☆☆,verified
lobby,35E1C0,,preset_radio,Skill wielding traps.\nEnables you to set up traps more quickly.\n- Set up speed ★★☆,verified
lobby,683796,,preset_radio,Habileté au maniement des couteaux.\nAttaques au couteau plus rapides.\n- Déplacement pendant attaque\nHabileté nécessaire : MAÎTRISE CQC\n- Trancher la gorge en prise CQC,verified
lobby,A86AEB,,preset_radio,Knife master,verified
lobby,BDE016,,preset_radio,High number of rolls,verified
lobby,BDE018,,preset_radio,Prefers not to kill,verified
lobby,6191BB,,preset_radio,Prefers Team Sneaking rules,verified
lobby,914C86,,preset_radio,Bare hand/CQC master,verified
lobby,914C8B,,preset_radio,%d consecutive kills,verified
lobby,914C8C,,preset_radio,%d consecutive headshots,verified
lobby,914C8D,,preset_radio,%d consecutive deaths,verified
lobby,135D06,,preset_radio,%d consecutive missions completed,verified
lobby,EED85F,,preset_radio,Folg mir.,verified
lobby,3BDB19,,preset_radio,Come with me...,verified
lobby,4D9BAE,,preset_radio,"Sorry, but no.",verified
lobby,4D9BB4,,preset_radio,¡Ven conmigo!,verified
lobby,B6CB65,,preset_radio,Not gonna happen.,verified
lobby,B6CB66,,preset_radio,No can do.,verified
lobby,B6CB67,,preset_radio,I don't think so.,verified
lobby,B6CB6A,,preset_radio,Pas la moindre chance.,verified
lobby,0ED998,,preset_radio,Not gonna happen.,verified
lobby,0ED99A,,preset_radio,Impossible.,verified
lobby,0ED99F,,preset_radio,Not gonna happen.,verified
lobby,0ED9A0,,preset_radio,Je… ne crois pas…,verified
lobby,DB3413,,preset_radio,Not gonna happen.,verified
lobby,469BB6,,preset_radio,Guard the damn target!,verified
lobby,AAD0A1,,preset_radio,"Keep together. Now, move it!",verified
lobby,AAD0A2,,preset_radio,Stay together! Let's go!,verified
lobby,AAD0A3,,preset_radio,Stay together. Let's go...!,verified
lobby,AAD0A4,,preset_radio,Come along!,verified
lobby,AAD0A5,,preset_radio,Everybody stay close now!,verified
lobby,AAD0DF,,preset_radio,R-Retreat!,verified
lobby,B4E306,,preset_radio,Awesome!,verified
lobby,B4E307,,preset_radio,Nice!,verified
lobby,6D4197,,preset_radio,Not bad.,verified
lobby,A8331F,,preset_radio,Not bad.,verified
lobby,7196A1,,preset_radio,Pretty darn good...,verified
lobby,3BB084,,preset_radio,Don't die on me.,verified
lobby,EF9B89,,preset_radio,Do a good job!,verified
lobby,EF9B8A,,preset_radio,I know you can do it!,verified
lobby,EF9B8D,,preset_radio,I know you can do it!,verified
lobby,EF9B8F,,preset_radio,I know you can do it!,verified
lobby,EF9B90,,preset_radio,C'mon!,verified
lobby,EF9B91,,preset_radio,Mach schon!,verified
lobby,4F6A7C,,preset_radio,I know you can do it!,verified
lobby,4F6A7E,,preset_radio,I know you can do it!,verified
lobby,4F6A7F,,preset_radio,Ne me le laisse pas tomber.,verified
lobby,4F6A81,,preset_radio,Ne me le laisse pas tomber.,verified
lobby,4F6A82,,preset_radio,Ne me le laisse pas tomber.,verified
lobby,ED507B,,preset_radio,Ne me le laisse pas tomber.,verified
lobby,022D4F,,preset_radio,It's up to you now!,verified
lobby,966EC7,,preset_radio,I'm under attack! Enemy location unknown!,verified
lobby,FC8E2B,,preset_radio,Attacco nemico! Posizione non confermata!,verified
lobby,95F0D0,,preset_radio,I know! Go around!,verified
lobby,302454,,preset_radio,Currently...aaaaagh...! Currently engaging enemy!,verified
lobby,C533C3,,preset_radio,Anybody wanna give me a hand?,verified
lobby,C533C9,,preset_radio,"I need backup, please!",verified
lobby,C533CB,,preset_radio,Enemy eliminated!,verified
lobby,B051D4,,preset_radio,Feind erledigt.,verified
lobby,B051D7,,preset_radio,Feind erledigt.,verified
lobby,62B3FB,,preset_radio,Good soldiers make graves.,verified
lobby,62B3FC,,preset_radio,It could have been me...,verified
lobby,62B3FD,,preset_radio,You never know when it's gonna be your turn.,verified
lobby,62B3FE,,preset_radio,I wonder who's next...,verified
lobby,62B3FF,,preset_radio,"No time for tears. We're all as good as dead, anyway.",verified
lobby,567FFE,,preset_radio,I wonder who's next...,verified
lobby,920333,,preset_radio,Never forget the fallen...,verified
lobby,920334,,preset_radio,I'm OK. I'm not gonna die today. I'm OK!,verified
lobby,920335,,preset_radio,"Wrong place, wrong time.",verified
lobby,920336,,preset_radio,Gonna miss that guy...,verified
lobby,920337,,preset_radio,The good do die young...,verified
lobby,920338,,preset_radio,I can't believe you're gone...,verified
lobby,920339,,preset_radio,You fool! Why the big rush to die?!,verified
lobby,92033A,,preset_radio,"One of us is lost, but we fight on.",verified
lobby,92033B,,preset_radio,Look what your recklessness has done!,verified
lobby,EE1104,,preset_radio,I'll see you in hell...,verified
lobby,EE1105,,preset_radio,Wahh...,verified
lobby,EE1106,,preset_radio,You brought this on yourself...,verified
lobby,EE1107,,preset_radio,You're in a better place now...,verified
lobby,EE1108,,preset_radio,See what happens when you get reckless?,verified
lobby,EE1109,,preset_radio,There's no stopping people like that!,verified
lobby,EE110B,,preset_radio,Anyone could have seen this coming.,verified
lobby,EE110C,,preset_radio,Until we meet again.,verified
lobby,C221AF,,preset_radio,Anyone could have seen this coming.,verified
lobby,0FF9CA,,preset_radio,Reckless moron...,verified
lobby,0FF9CD,,preset_radio,Ecco il risultato d-dell'imprudenza...,verified
lobby,0FF9D0,,preset_radio,Reckless moron...,verified
lobby,C86AFC,,preset_radio,Reckless moron...,verified
lobby,C86AFD,,preset_radio,Reckless moron...,verified
lobby,C86AFF,,preset_radio,Tu l'as bien cherché…,verified
lobby,C86B03,,preset_radio,Ecco il risultato d-dell'imprudenza...,verified
lobby,0D60AB,,preset_radio,Reckless moron...,verified
lobby,B8DD8F,,preset_radio,Doesn't look like anyone's here...,verified
lobby,B8DD90,,preset_radio,Nothing unusual here.,verified
lobby,B8DD91,,preset_radio,Nobody here...,verified
lobby,5769A1,,preset_radio,"Nope, nobody here...",verified
lobby,5769A4,,preset_radio,Not a soul to be seen.,verified
lobby,5769A5,,preset_radio,Not a soul around...,verified
lobby,DFC35F,,preset_radio,Pass! Pass!,verified
lobby,23B432,,preset_radio,Shoot!,verified
lobby,23B433,,preset_radio,Now's your chance!,verified
lobby,23B434,,preset_radio,Go for it! Shoot!,verified
lobby,CBB10B,,preset_radio,Keep running!,verified
lobby,CDB66B,,preset_radio,Los geht's!,verified
lobby,508842,,preset_radio,Game over!,verified
lobby,508885,,preset_radio,Hello!,verified
lobby,508886,,preset_radio,Greetings.,verified
lobby,CC8CF3,,preset_radio,HAND.GUN MASTERY,verified
lobby,CC8CF4,,preset_radio,HAND.GUN MASTERY,verified
lobby,CC8CF6,,preset_radio,HAND.GUN MASTERY,verified
lobby,1511F5,,preset_radio,See ya around sometime.,verified
lobby,188D50,,preset_radio,Keep in touch!,verified
lobby,188D51,,preset_radio,See you next time!,verified
lobby,188D55,,preset_radio,See you next time...,verified
lobby,167B25,,preset_radio,Bathroom break...,verified
lobby,DD671E,,preset_radio,"Oh, my stomach!",verified
lobby,7DB234,,preset_radio,Oh! Unh... I have to go to the bathroom...,verified
lobby,7DB236,,preset_radio,Nghhh... My gut...,verified
lobby,7DB238,,preset_radio,"Oh, ooooow! My stomach... It's killing me!",verified
lobby,530921,,preset_radio,That must be a new record!,verified
lobby,2B3431,,preset_radio,I'm back.,verified
lobby,112151,,preset_radio,I'm back!!,verified
lobby,112158,,preset_radio,Good to have you back.,verified
lobby,668301,,preset_radio,There you are!,verified
lobby,49FBE5,,preset_radio,"Tu es revenu, hein ?",verified
lobby,D0BFEB,,preset_radio,De retour à mon poste !,verified
lobby,28D466,,preset_radio,I'm hooking in!,verified
lobby,28D467,,preset_radio,I'm hooking in!,verified
lobby,28D468,,preset_radio,I'm hooking in!,verified
lobby,28D46A,,preset_radio,I'm hooking in!,verified
lobby,28D46B,,preset_radio,I'm hooking in!,verified
lobby,28D46E,,preset_radio,Mi sto collegando…,verified
lobby,32DB60,,preset_radio,I'm hooking in!,verified
lobby,32DB61,,preset_radio,I'm hooking in!,verified
lobby,32DB64,,preset_radio,I'm hooking in!,verified
lobby,32DB67,,preset_radio,I'm hooking in!,verified
lobby,32DB68,,preset_radio,I'm hooking in!,verified
lobby,5C29B0,,preset_radio,Il faut s'infiltrer par les côtés !,verified
lobby,5C29B7,,preset_radio,Il faut s'infiltrer par les côtés !,verified
lobby,5C29B8,,preset_radio,Connessione!,verified
lobby,2533D5,,preset_radio,Let’s connect.,verified
lobby,2533D6,,preset_radio,Vamos a conectarnos.,verified
lobby,2533D9,,preset_radio,K-Können wir uns verbinden?,verified
lobby,84DD14,,preset_radio,Let's do it!,verified
lobby,5588D3,,preset_radio,Let's go! Let's go!,verified
lobby,789EDC,,preset_radio,"Come on, man! Let's go!",verified
lobby,789EDD,,preset_radio,"Come on, man! Let's go!",verified
lobby,789EE0,,preset_radio,"Come on, man! Let's go!",verified
lobby,789EE1,,preset_radio,"Come on, man! Let's go!",verified
lobby,789EE3,,preset_radio,"Come on, man! Let's go!",verified
lobby,789EE4,,preset_radio,¡Cuando quieras!,verified
lobby,1D7D1F,,preset_radio,Ready!,verified
lobby,1D7D20,,preset_radio,Get up there!,verified
lobby,D5A737,,preset_radio,"C'mon, get over here!",verified
lobby,D5A738,,preset_radio,Hop to it!,verified
lobby,2A7950,,preset_radio,Go ahead.,verified
lobby,B38A04,,preset_radio,Not bad!,verified
lobby,09418B,,preset_radio,Quoi ? Tu pars ?!,verified
lobby,094191,,preset_radio,Vous êtes mort %d fois.,verified
lobby,20CF2A,,preset_radio,Vous êtes mort %d fois.,verified
lobby,FD5D7F,,preset_radio,"Yes, just like that!",verified
lobby,14540E,,preset_radio,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,37F108,,preset_radio,What're you doing?!,verified
lobby,992346,,preset_radio,What was that?,verified
lobby,69D2B0,,preset_radio,R-Roger.,verified
lobby,ACE029,,preset_radio,What do you think you're doing?!,verified
lobby,B6F24A,,preset_radio,Good work.,verified
lobby,043C96,,preset_radio,What are you doing...?!,verified
lobby,C7430E,,preset_radio,Nemico eliminato!,verified
lobby,120915,,preset_radio,Reckless moron...,verified
lobby,529789,,preset_radio,Hello.,verified
lobby,3483E9,,preset_radio,Ne me le laisse pas tomber.,verified
lobby,42C859,,preset_radio,You are hopeless!,verified
lobby,C1BFB4,,preset_radio,Stop.,verified
lobby,C0BCDF,,preset_radio,Stop!!,verified
lobby,C05EB9,,preset_radio,VERBESRT,verified
lobby,F72AD6,,preset_radio,T-ti copro io...!,verified
lobby,D440E9,,preset_radio,Fatti sotto!,verified
lobby,EA24B9,,preset_radio,Whenever you're ready!,verified
lobby,E91B7F,,preset_radio,Continue.,verified
lobby,D08B40,,preset_radio,Plus vite.,verified
lobby,3D7B4A,,preset_radio,Baissez-vous.,verified
lobby,D328A8,,lobby,HAWKEYE,verified
lobby,F5F7DE,,lobby,SURVEYOR,verified
lobby,E76082,,lobby,NARC,verified
lobby,0E467A,,lobby,No Conditions,verified
lobby,837BFE,,lobby,Accepting Trainees,verified
lobby,CBC382,,lobby,Extends the maximum lock-on distance.\n- Lock on distance ★☆☆,verified
lobby,599833,,lobby,Extends the maximum lock-on distance.\n- Lock on distance ★☆☆,verified
lobby,58DD16,,lobby,Extends the maximum lock-on distance.\n- Lock on distance ★★☆,verified
lobby,21F1C9,,lobby,Often wears ENVG,verified
lobby,207313,,lobby,Prefers Capture rules,verified
lobby,CB83C6,,lobby,Rarely participates in battle,verified
lobby,4EB851,,lobby,Often gets stuck in traps,verified
lobby,389E83,,lobby,%d consecutive kills,verified
lobby,389E84,,lobby,%d consecutive headshots,verified
lobby,8B5237,,lobby,%d consecutive deaths,verified
lobby,48E711,,lobby,%d total kills,verified
lobby,4E5E68,,lobby,%d total deaths,verified
lobby,1269CD,,lobby,%d consecutive survivals in TDM,verified
lobby,CBCD3B,,lobby,%d consecutive times spotted in SNE,verified
lobby,2DCEF2,,lobby,Enemy's coming at us!,verified
lobby,E2D4CA,,lobby,"Ugh, the enemy!",verified
lobby,B5BD0A,,lobby,Couvrez-moi !!,verified
lobby,3FD8C5,,lobby,Hold it!,verified
lobby,44DA2E,,lobby,Wait! Stop!,verified
lobby,D4B777,,lobby,Hold it right there!,verified
lobby,B6B480,,lobby,Uh uh.,verified
lobby,6DB44B,,lobby,"Sorry, but no.",verified
lobby,8B9B19,,lobby,No can do!,verified
lobby,8BC306,,lobby,Not gonna happen.,verified
lobby,1EC487,,lobby,"We're all clear, right?",verified
lobby,59BB10,,lobby,Looks clear to me.,verified
lobby,8F60A2,,lobby,Coast is clear!,verified
lobby,3D28D1,,lobby,Nothing to report.,verified
lobby,97144B,,lobby,Defend the target!,verified
lobby,E564FF,,lobby,We gotta defend the target!,verified
lobby,B6CE14,,lobby,P-Protect the target!,verified
